frame,mode,readback_ms,frame_ms
8113,DB_ON,5.62,10.2333
8114,DB_ON,6.5671,12.1398
8115,DB_ON,4.941,10.179
8116,DB_ON,6.4269,11.8518
8117,DB_ON,5.1384,10.2787
8118,DB_ON,6.1095,11.7651
8119,DB_ON,5.5083,10.2719
8120,DB_ON,6.4523,11.6595
8121,DB_ON,5.5003,10.5015
8122,DB_ON,6.3981,11.6208
8123,DB_ON,5.2464,10.3891
8124,DB_ON,6.1734,11.4031
8125,DB_ON,5.3558,9.7446
8126,DB_ON,6.1846,11.4536
8127,DB_ON,5.358,10.5012
8128,DB_ON,5.6394,10.9723
8129,DB_ON,5.2044,10.2415
8130,DB_ON,5.6129,10.8583
8131,DB_ON,5.4259,9.9223
8132,DB_ON,5.9012,11.2805
8133,DB_ON,4.9763,9.8473
8134,DB_ON,6.523,11.6762
8135,DB_ON,5.0279,10.2233
8136,DB_ON,5.7773,11.0178
8137,DB_ON,5.8876,10.3314
8138,DB_ON,6.4928,11.758
8139,DB_ON,4.7662,9.7176
8140,DB_ON,6.0155,11.2705
8141,DB_ON,5.3217,10.4958
8142,DB_ON,6.0785,11.2462
8143,DB_ON,5.8598,10.5175
8144,DB_ON,6.1663,11.326
8145,DB_ON,4.9794,9.8499
8146,DB_ON,5.7557,11.027
8147,DB_ON,5.7192,10.7961
8148,DB_ON,6.2565,11.3953
8149,DB_ON,5.9881,10.2648
8150,DB_ON,6.4966,11.6604
8151,DB_ON,4.9835,10.1815
8152,DB_ON,6.4484,11.6856
8153,DB_ON,5.1598,10.1687
8154,DB_ON,6.3858,11.9232
8155,DB_ON,5.5271,9.8897
8156,DB_ON,6.2217,11.6877
8157,DB_ON,5.2872,9.9789
8158,DB_ON,6.5392,12.3223
8159,DB_ON,4.7083,10.1449
8160,DB_ON,5.5725,10.8787
8161,DB_ON,5.0591,9.9037
8162,DB_ON,5.4155,10.9802
8163,DB_ON,4.5658,9.3729
8164,DB_ON,5.9685,11.551
8165,DB_ON,5.0568,9.762
8166,DB_ON,5.4499,10.6565
8167,DB_ON,5.4333,10.5258
8168,DB_ON,5.525,11.0303
8169,DB_ON,4.7091,9.8428
8170,DB_ON,5.8231,11.775
8171,DB_ON,3.9475,9.4277
8172,DB_ON,5.5871,10.8258
8173,DB_ON,6.0788,10.6256
8174,DB_ON,6.4819,11.7915
8175,DB_ON,4.9573,9.7948
8176,DB_ON,6.4093,11.8164
8177,DB_ON,5.353,10.554
8178,DB_ON,6.2286,11.6384
